id,text
380,"Misspellings: recieve, definately, seperate should be fixed"
381,Repeated letters: cooool loooove tweeeeet
382,I am loving #MachineLearning and #DataScience 🌟
383,I am loving #MachineLearning and #DataScience 🌟
384,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
385,Check out this link: https://github.com/user/repo
386,"Python, Java, and C++ are programming languages."
387,Emoji test: 😂🤣😍🔥✨💯
388,Cleaning text is fun!!! Isn't it? 🤔
389,Email me at test@example.com or visit http://mywebsite.com
390,"Misspellings: recieve, definately, seperate should be fixed"
391,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
392,Cleaning text is fun!!! Isn't it? 🤔
393,Special characters: @$%^&*() should be removed
394,Cleaning text is fun!!! Isn't it? 🤔
395,<p>Hello there! Visit https://example.com 😊</p>
396,Check out this link: https://github.com/user/repo
397,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
398,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
399,"Newlines
and	tabs should be handled properly."
400,Mixed CASE text should be lowercased
401,Numbers 12345 and 67890 are present in this text
402,"Remove punctuation, lowercase, and stopwords from THIS sentence."
403,Cleaning text is fun!!! Isn't it? 🤔
404,Stemming and lemmatization are key for text normalization 🤖
405,Python is awesome!!! Check out www.python.org 😎 #coding
406,I love NLP. It’s amazing… <a href='link'>Click here</a>
407,Mentions: @user1 @user2 are included in tweets
408,I am loving #MachineLearning and #DataScience 🌟
409,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
410,Email me at test@example.com or visit http://mywebsite.com
411,Python is awesome!!! Check out www.python.org 😎 #coding
412,Mixed CASE text should be lowercased
413,"Newlines
and	tabs should be handled properly."
414,Mixed CASE text should be lowercased
415,Python is awesome!!! Check out www.python.org 😎 #coding
416,Emoji test: 😂🤣😍🔥✨💯
417,I am loving #MachineLearning and #DataScience 🌟
418,Stemming and lemmatization are key for text normalization 🤖
419,"Python, Java, and C++ are programming languages."
420,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
421,"Newlines
and	tabs should be handled properly."
422,"Remove punctuation, lowercase, and stopwords from THIS sentence."
423,Numbers 12345 and 67890 are present in this text
424,Cleaning text is fun!!! Isn't it? 🤔
425,Special characters: @$%^&*() should be removed
426,"Remove punctuation, lowercase, and stopwords from THIS sentence."
427,"Remove punctuation, lowercase, and stopwords from THIS sentence."
428,I am loving #MachineLearning and #DataScience 🌟
429,Emoji test: 😂🤣😍🔥✨💯
430,Email me at test@example.com or visit http://mywebsite.com
431,Numbers 12345 and 67890 are present in this text
432,Python is awesome!!! Check out www.python.org 😎 #coding
433,Email me at test@example.com or visit http://mywebsite.com
434,Python is awesome!!! Check out www.python.org 😎 #coding
435,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
436,"Python, Java, and C++ are programming languages."
437,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
438,"Remove punctuation, lowercase, and stopwords from THIS sentence."
439,Numbers 12345 and 67890 are present in this text
440,"Newlines
and	tabs should be handled properly."
441,"Newlines
and	tabs should be handled properly."
442,"Remove punctuation, lowercase, and stopwords from THIS sentence."
443,"Newlines
and	tabs should be handled properly."
444,Python is awesome!!! Check out www.python.org 😎 #coding
445,Python is awesome!!! Check out www.python.org 😎 #coding
446,Special characters: @$%^&*() should be removed
447,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
448,<p>Hello there! Visit https://example.com 😊</p>
449,Python is awesome!!! Check out www.python.org 😎 #coding
450,"Python, Java, and C++ are programming languages."
451,Special characters: @$%^&*() should be removed
452,"Remove punctuation, lowercase, and stopwords from THIS sentence."
453,"Misspellings: recieve, definately, seperate should be fixed"
454,Python is awesome!!! Check out www.python.org 😎 #coding
455,"Newlines
and	tabs should be handled properly."
456,Emoji test: 😂🤣😍🔥✨💯
457,Mentions: @user1 @user2 are included in tweets
458,Email me at test@example.com or visit http://mywebsite.com
459,Mentions: @user1 @user2 are included in tweets
460,Python is awesome!!! Check out www.python.org 😎 #coding
461,Numbers 12345 and 67890 are present in this text
462,Stemming and lemmatization are key for text normalization 🤖
463,"Misspellings: recieve, definately, seperate should be fixed"
464,Mixed CASE text should be lowercased
465,"Newlines
and	tabs should be handled properly."
466,Email me at test@example.com or visit http://mywebsite.com
467,Python is awesome!!! Check out www.python.org 😎 #coding
468,Cleaning text is fun!!! Isn't it? 🤔
469,Python is awesome!!! Check out www.python.org 😎 #coding
470,Mentions: @user1 @user2 are included in tweets
471,Numbers 12345 and 67890 are present in this text
472,Mixed CASE text should be lowercased
473,I am loving #MachineLearning and #DataScience 🌟
474,Cleaning text is fun!!! Isn't it? 🤔
475,Python is awesome!!! Check out www.python.org 😎 #coding
476,Special characters: @$%^&*() should be removed
477,Mixed CASE text should be lowercased
478,Check out this link: https://github.com/user/repo
479,Numbers 12345 and 67890 are present in this text
480,<p>Hello there! Visit https://example.com 😊</p>
481,I am loving #MachineLearning and #DataScience 🌟
482,Numbers 12345 and 67890 are present in this text
483,Repeated letters: cooool loooove tweeeeet
484,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
485,Special characters: @$%^&*() should be removed
486,Special characters: @$%^&*() should be removed
487,I love NLP. It’s amazing… <a href='link'>Click here</a>
488,Special characters: @$%^&*() should be removed
489,Check out this link: https://github.com/user/repo
490,"Remove punctuation, lowercase, and stopwords from THIS sentence."
491,I love NLP. It’s amazing… <a href='link'>Click here</a>
492,"Newlines
and	tabs should be handled properly."
493,Mentions: @user1 @user2 are included in tweets
494,I love NLP. It’s amazing… <a href='link'>Click here</a>
495,Mentions: @user1 @user2 are included in tweets
496,"Remove punctuation, lowercase, and stopwords from THIS sentence."
497,Mixed CASE text should be lowercased
498,<p>Hello there! Visit https://example.com 😊</p>
499,"Remove punctuation, lowercase, and stopwords from THIS sentence."
500,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
501,I am loving #MachineLearning and #DataScience 🌟
502,Emoji test: 😂🤣😍🔥✨💯
503,"Misspellings: recieve, definately, seperate should be fixed"
504,Emoji test: 😂🤣😍🔥✨💯
505,Repeated letters: cooool loooove tweeeeet
506,Mixed CASE text should be lowercased
507,I am loving #MachineLearning and #DataScience 🌟
508,Email me at test@example.com or visit http://mywebsite.com
509,"Newlines
and	tabs should be handled properly."
510,I love NLP. It’s amazing… <a href='link'>Click here</a>
511,Stemming and lemmatization are key for text normalization 🤖
512,Numbers 12345 and 67890 are present in this text
513,Emoji test: 😂🤣😍🔥✨💯
514,Mixed CASE text should be lowercased
515,Cleaning text is fun!!! Isn't it? 🤔
516,"Remove punctuation, lowercase, and stopwords from THIS sentence."
517,Email me at test@example.com or visit http://mywebsite.com
518,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
519,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
520,"Newlines
and	tabs should be handled properly."
521,Numbers 12345 and 67890 are present in this text
522,Cleaning text is fun!!! Isn't it? 🤔
523,Mixed CASE text should be lowercased
524,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
525,I love NLP. It’s amazing… <a href='link'>Click here</a>
526,"Misspellings: recieve, definately, seperate should be fixed"
527,Numbers 12345 and 67890 are present in this text
528,Special characters: @$%^&*() should be removed
529,<p>Hello there! Visit https://example.com 😊</p>
530,"Remove punctuation, lowercase, and stopwords from THIS sentence."
531,Email me at test@example.com or visit http://mywebsite.com
532,Repeated letters: cooool loooove tweeeeet
533,"Remove punctuation, lowercase, and stopwords from THIS sentence."
534,"Remove punctuation, lowercase, and stopwords from THIS sentence."
535,"Python, Java, and C++ are programming languages."
536,<p>Hello there! Visit https://example.com 😊</p>
537,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
538,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
539,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
540,Special characters: @$%^&*() should be removed
541,Email me at test@example.com or visit http://mywebsite.com
542,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
543,Repeated letters: cooool loooove tweeeeet
544,"Python, Java, and C++ are programming languages."
545,Numbers 12345 and 67890 are present in this text
546,Cleaning text is fun!!! Isn't it? 🤔
547,Stemming and lemmatization are key for text normalization 🤖
548,Check out this link: https://github.com/user/repo
549,Emoji test: 😂🤣😍🔥✨💯
550,Emoji test: 😂🤣😍🔥✨💯
551,Repeated letters: cooool loooove tweeeeet
552,I am loving #MachineLearning and #DataScience 🌟
553,Mentions: @user1 @user2 are included in tweets
554,Stemming and lemmatization are key for text normalization 🤖
555,Repeated letters: cooool loooove tweeeeet
556,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
557,Emoji test: 😂🤣😍🔥✨💯
558,<p>Hello there! Visit https://example.com 😊</p>
559,Mixed CASE text should be lowercased
560,Mixed CASE text should be lowercased
561,Cleaning text is fun!!! Isn't it? 🤔
562,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
563,Numbers 12345 and 67890 are present in this text
564,Numbers 12345 and 67890 are present in this text
565,"Remove punctuation, lowercase, and stopwords from THIS sentence."
566,"Remove punctuation, lowercase, and stopwords from THIS sentence."
567,Check out this link: https://github.com/user/repo
568,Python is awesome!!! Check out www.python.org 😎 #coding
569,Email me at test@example.com or visit http://mywebsite.com
570,"Python, Java, and C++ are programming languages."
571,I am loving #MachineLearning and #DataScience 🌟
572,"Python, Java, and C++ are programming languages."
